# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	650
#@/user_id	532af1a8-603d-4b17-9110-0468e8e0d5e5
a 	啊	c=1 d=0.956411 t=650
yong 	用	c=2 d=1.56323 t=650
yong de 	用的	c=1 d=0.748264 t=650
yong de shi 	用的是	c=2 d=1.7291 t=650
you 	又	c=2 d=1.4424 t=650
you 	有	c=3 d=2.07364 t=650
you ce 	右侧	c=1 d=0.995012 t=650
you hua 	优化	c=2 d=1.48739 t=650
you shen me 	有什么	c=1 d=0.927743 t=650
you xia jiao 	右下角	c=1 d=0.941765 t=650
you zhe me duo 	有这么多	c=1 d=0.904837 t=650
yu dao 	遇到	c=2 d=1.65797 t=650
yu ju 	语句	c=2 d=1.65052 t=650
yue 	越	c=1 d=0.900325 t=650
yue du 	阅读	c=1 d=0.904837 t=650
yun xing 	运行	c=3 d=2.63462 t=650
zai 	在	c=9 d=4.87613 t=650
zai yong 	再用	c=2 d=1.63399 t=650
zen me 	怎么	c=16 d=7.27201 t=650
zen me ban 	怎么办	c=1 d=0.814647 t=650
zhan tie 	粘贴	c=1 d=0.88692 t=650
zhan yong 	占用	c=1 d=0.83527 t=650
zhao dao 	找到	c=1 d=1 t=650
zhe 	这	c=1 d=0.970446 t=650
zhe duan 	这段	c=1 d=0.865022 t=650
zhe dui 	这对	c=1 d=0.970446 t=650
zhe ge 	这个	c=10 d=5.63253 t=650
zhe ju 	这句	c=1 d=0.955997 t=650
zhe me duo 	这么多	c=1 d=0.923116 t=650
zhe shi 	这是	c=10 d=5.76911 t=650
zhen 	真	c=2 d=1.99501 t=650
zhen zhen 	阵阵	c=1 d=0.99005 t=650
zheng chang 	正常	c=1 d=0.878095 t=650
zheng que ma 	正确吗	c=1 d=0.822835 t=650
zhi 	只	c=1 d=0.900325 t=650
zhi hou 	之后	c=3 d=2.56824 t=650
zhi jie 	直接	c=1 d=0.995012 t=650
zhong 	中	c=2 d=1.51691 t=650
zhong duan 	终端	c=1 d=0.778801 t=650
zhong duan li 	终端里	c=1 d=0.882497 t=650
zhong yu 	终于	c=1 d=0.980199 t=650
zhu ti 	主题	c=3 d=2.35096 t=650
zhuang le 	装了	c=1 d=0.941765 t=650
zhuang tai 	状态	c=2 d=1.68316 t=650
zhuang tai tu 	状态图	c=1 d=0.856415 t=650
zi dai 	自带	c=2 d=1.40629 t=650
zi dai de 	自带的	c=1 d=1 t=650
zi dong 	自动	c=1 d=0.980199 t=650
zi wen jian jia 	子文件夹	c=1 d=0.704688 t=650
zi xi 	仔细	c=2 d=1.4878 t=650
zuo ce 	左侧	c=1 d=0.67368 t=650
zuo fa 	做法	c=1 d=0.923116 t=650
zuo you 	左右	c=1 d=0.951229 t=650
